忆佰诗,1,10,好评,"这也太好看了吧！毫无疑问是我从小到大已来看过的最最优秀的动画片，不亚于心目中的“幽灵公主”。真正的有泪有笑毫无疑问！！这部电影绝对是中国动画电影的一座丰碑，他是一次对封神的挑战，是对我们每个人都无比熟悉的故事的一次改编。在故事上，改造一个人尽皆知的故事远比创新更难，而且还要改得好，改的精彩，更是需要绞尽脑汁的思考和夜以继日的奋斗，我想这也是他在我心中比大圣和大鱼更优秀的地方。
PS:我一个铁石心肠的人，观影过程中，落泪5次！！导演，你不是“人”！"
佳佳,0,10,好评,巨好看(｡･ω･｡)ﾉ♡
江江,2,10,好评,国漫之光，期待续作
烟熏马哈鱼,2,8,好评,有点幼稚。。
🐰🐰梁小胖,2,10,好评,好看，希望有第二部，期待
龔三岁,0,10,好评,被推荐的，不负此行，很棒
Ejk159019372,0,10,好评,好看，，，挺好看
空的日记满的心°,2,9,好评,非常好的一部电影。
白夜DX,1,10,好评,非常棒，封神宇宙正式开启
薇,0,10,购票,好看，，，，
moon陈,0,10,好评,好看，没想到动画片能这么好看，还是我们国产的，👍
贪婪的学生,1,5,好评,一些特定方面实在不喜欢，作为普通观众我只给主观评分。
匚33,2,10,好评,好看 很期待下一步
极速蜗牛,1,9,好评,所有看过的国产动画片中最好的一
未闻花名,2,10,好评,我命由我不由天
肥明,0,10,好评,良心国产，期待有第二部～哪吒和敖丙都好喜欢！
机智的刘小鹿,0,10,好评,哪吒的故事是我们90后的青春，无论是小时候看过的哪个版本，都让我们感受到那种母子情深，还有他那如火般的正义感，这个版本的哪吒补全了以往版本很多缺少的东西，比如描写了李靖对儿子那如山般的爱，还有哪吒更强烈的叛逆，更加真实的表现了一个孩子从小被排斥对待的情感反应，故事的最后更有热血漫的桥段展现，“若命运不公，那就和他斗到底”，致敬所有不服命运而奋斗着的人们，可以看的出作者的野心之大，想构筑出一篇新的故事，不同于以往的哪吒，当真国漫之光啊！
杨谨婕了啦,2,10,好评,土拨鼠尖叫！！！也好看了吧！！！放映结束观众全体鼓掌！！！哪吒小爷太值了！！！跟敖丙CP我磕了！！！
陈圈圈,0,10,好评,“申公公，你也在呀？“不好意思我真的笑喷了！
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2,8,好评,非常好看的电影
蓮生叁拾贰,0,10,好评,啥都不说了，期待姜子牙
香菇青菜包,0,9,好评,"国漫新巅峰，无论技术还是情节。

影片在传统神话故事上做了很大的突破，情节和人物焕然一新！

虽然「我命由我不由天」的主题有点俗套，但讲的够燃够有趣够感动！！"
